"pVal","phase","peak.shape","period","cruise","pop","param","first_peak","peak_hour"
1.58283788816093e-10,13,9,24,"KM1518","croco","abundance",2015-11-13 19:00:00,9
0.624271057057988,23,9,24,"KM1518","croco","Qc",2015-11-14 05:00:00,19
4.19135024253619e-06,13,7,24,"KM1601","croco","abundance",2016-01-12 19:00:00,9
1.38940484985921e-06,3,9,24,"KM1601","croco","Qc",2016-01-12 09:00:00,23
1.72736038465759e-06,9,15,24,"KM1602","croco","abundance",2016-02-09 15:00:00,5
0.420026738263552,5,10,24,"KM1602","croco","Qc",2016-02-09 11:00:00,1
0.000265939297551033,18,14,24,"KOK1604","croco","abundance",2016-04-14 13:00:00,3
0.190216656844868,21,14,24,"KOK1604","croco","Qc",2016-04-14 16:00:00,6
0.85681857490611,23,10,24,"KOK1608","croco","abundance",2016-07-11 19:00:00,9
0.745711336674718,8,11,24,"KOK1608","croco","Qc",2016-07-11 04:00:00,18
3.10266840720422e-09,21,7,24,"KOK1609","croco","abundance",2016-08-09 17:00:00,7
2.63342726982793e-17,13,12,24,"KOK1609","croco","Qc",2016-08-09 09:00:00,23
3.84984024345678e-09,9,7,24,"KM1708","croco","abundance",2017-06-20 15:00:00,5
1.39161603212842e-29,2,9,24,"KM1708","croco","Qc",2017-06-20 08:00:00,22
0.000664948149006471,13,7,24,"KM1717","croco","abundance",2017-11-08 18:00:00,8
1.22447034060811e-20,22,15,24,"KM1717","croco","Qc",2017-11-09 03:00:00,17
0.228156810688496,4,14,24,"KM1802","croco","abundance",2018-01-17 09:00:00,23
0.00449529744727605,1,13,24,"KM1802","croco","Qc",2018-01-17 06:00:00,20
8.64198581905131e-06,6,12,24,"KOK1801","croco","abundance",2018-04-17 16:00:00,6
0.510493271487598,18,13,24,"KOK1801","croco","Qc",2018-04-18 04:00:00,18
0.935376453123377,1,7,24,"KOK1803","croco","abundance",2018-05-15 10:00:00,0
0.959846490551838,20,10,24,"KOK1803","croco","Qc",2018-05-16 05:00:00,19
0.000200400184113658,10,8,24,"KOK1804","croco","abundance",2018-06-26 18:00:00,8
8.87834528211866e-19,23,10,24,"KOK1804","croco","Qc",2018-06-27 07:00:00,21
0.0722313753380862,9,12,24,"KOK1807","croco","abundance",2018-07-24 16:00:00,6
0.0629094698674194,23,12,24,"KOK1807","croco","Qc",2018-07-25 06:00:00,20
